userId,index,rating
1,14,4
1,15,4
1,16,4
1,17,5
1,18,5
1,19,3
1,20,5
1,21,4
1,22,5
1,23,5
1,24,5
1,25,5
1,26,3
1,27,5
1,28,4
1,29,5
1,30,3
1,31,3
1,32,5
1,33,4
1,34,4
1,35,5
1,36,4
1,37,3
1,38,4
1,39,5
1,40,4
1,41,3
1,42,5
1,43,4
1,44,4
1,45,5
1,46,4
1,47,4
1,48,4
1,49,5
1,50,5
1,51,3
1,52,5
1,53,3
1,54,4
1,55,3
1,56,3
1,57,4
1,58,5
1,59,5
1,60,5
1,61,4
1,62,5
1,1,3
1,13,5
1,2,5
1,3,5
1,63,5
1,4,3
1,5,5
1,6,5
1,7,4
1,8,5
1,9,4
1,10,5
1,11,5
1,12,5
2,14,3
2,15,4
2,16,4.5
2,17,4
2,18,4
2,19,3.5
2,20,4
2,21,4
2,22,4.5
2,23,5
2,24,4.5
2,25,3
2,26,4
2,27,3
2,28,4
2,29,4.5
2,30,5
2,31,4
2,32,5
2,33,3.5
2,34,2.5
2,35,3.5
2,36,5
2,37,3
2,38,4
2,39,2
2,40,3.5
2,41,5
2,42,5
2,43,0.5
2,44,0.5
2,45,0.5
2,46,0.5
2,47,0.5
2,48,5
2,49,0.5
2,50,0.5
2,51,0.5
2,52,0.5
2,53,0.5
2,54,3.5
2,55,0.5
2,56,3
2,57,4.5
2,58,0.5
2,59,0.5
2,60,0.5
2,61,2
2,62,4
2,1,0.5
2,13,5
2,2,4.5
2,3,0.5
2,63,5
2,4,0.5
2,5,5
2,6,0.5
2,7,5
2,8,5
2,9,4.5
2,10,5
2,11,0.5
2,12,5
3,14,4.5
3,15,5
3,16,4.5
3,17,5
3,18,0.5
3,19,3
3,20,2
3,21,3
3,22,2
3,23,3
3,24,3
3,25,4
3,26,5
3,27,1
3,28,5
3,29,3
3,30,5
3,31,2
3,32,5
3,33,1
3,34,5
3,35,2
3,36,3
3,37,5
3,38,5
3,39,1
3,40,5
3,41,5
3,42,4
3,43,4
3,44,3
3,45,3
3,46,4
3,47,2
3,48,1
3,49,2
3,50,5
3,51,5
3,52,5
3,53,1
3,54,5
3,55,1
3,56,2
3,57,4
3,58,5
3,59,3
3,60,2
3,61,5
3,62,3
3,1,4
3,13,3
3,2,4
3,3,4
3,63,5
3,4,4
3,5,4
3,6,4
3,7,5
3,8,5
3,9,5
3,10,5
3,11,5
3,12,5
4,14,5
4,15,3
4,16,4
4,17,5
4,18,3
4,19,2
4,20,4
4,21,5
4,22,2
4,23,5
4,24,5
4,25,5
4,26,3
4,27,5
4,28,5
4,29,4
4,30,1
4,31,5
4,32,5
4,33,5
4,34,3
4,35,2
4,36,5
4,37,1
4,38,4
4,39,4
4,40,4
4,41,5
4,42,4
4,43,4
4,44,4
4,45,2
4,46,5
4,47,5
4,48,4
4,49,4
4,50,3
4,51,1
4,52,5
4,53,4
4,54,4
4,55,4
4,56,3
4,57,1
4,58,2
4,59,4
4,60,1
4,61,4
4,62,4
4,1,5
4,13,3
4,2,5
4,3,2
4,63,4
4,4,3
4,5,2
4,6,4
4,7,3
4,8,4
4,9,1
4,10,3
4,11,5
4,12,2
5,14,5
5,15,4
5,16,2
